Geographic Area,Indicator,Sex,TIME_PERIOD,OBS_VALUE,Unit of Measure
Northern Africa,Height-for-age <-2 SD (stunting),Total,1985,31,Percent
Northern Africa,Height-for-age <-2 SD (stunting),Total,1986,30,Percent
Northern Africa,Height-for-age <-2 SD (stunting),Total,1987,30,Percent
Northern Africa,Height-for-age <-2 SD (stunting),Total,1988,29,Percent
Northern Africa,Height-for-age <-2 SD (stunting),Total,1989,29,Percent
Northern Africa,Height-for-age <-2 SD (stunting),Total,1990,28,Percent
Northern Africa,Height-for-age <-2 SD (stunting),Total,1991,28,Percent
Northern Africa,Height-for-age <-2 SD (stunting),Total,1992,27,Percent
Northern Africa,Height-for-age <-2 SD (stunting),Total,1993,27,Percent
Northern Africa,Height-for-age <-2 SD (stunting),Total,1994,27,Percent
Northern Africa,Height-for-age <-2 SD (stunting),Total,1995,26,Percent
Northern Africa,Height-for-age <-2 SD (stunting),Total,1996,26,Percent
Northern Africa,Height-for-age <-2 SD (stunting),Total,1997,25,Percent
Northern Africa,Height-for-age <-2 SD (stunting),Total,1998,25,Percent
Northern Africa,Height-for-age <-2 SD (stunting),Total,1999,25,Percent
Northern Africa,Height-for-age <-2 SD (stunting),Total,2000,24,Percent
Northern Africa,Height-for-age <-2 SD (stunting),Total,2001,24,Percent
Northern Africa,Height-for-age <-2 SD (stunting),Total,2002,23,Percent
Northern Africa,Height-for-age <-2 SD (stunting),Total,2003,23,Percent
Northern Africa,Height-for-age <-2 SD (stunting),Total,2004,23,Percent
Northern Africa,Height-for-age <-2 SD (stunting),Total,2005,22,Percent
Northern Africa,Height-for-age <-2 SD (stunting),Total,2006,22,Percent
Northern Africa,Height-for-age <-2 SD (stunting),Total,2007,22,Percent
Northern Africa,Height-for-age <-2 SD (stunting),Total,2008,21,Percent
Northern Africa,Height-for-age <-2 SD (stunting),Total,2009,21,Percent
Northern Africa,Height-for-age <-2 SD (stunting),Total,2010,21,Percent
Northern Africa,Height-for-age <-2 SD (stunting),Total,2011,20,Percent
Northern Africa,Height-for-age <-2 SD (stunting),Total,2012,20,Percent
Northern Africa,Height-for-age <-2 SD (stunting),Total,2013,19,Percent
Northern Africa,Height-for-age <-2 SD (stunting),Total,2014,19,Percent
Northern Africa,Height-for-age <-2 SD (stunting),Total,2015,19,Percent
Northern Africa,Height-for-age <-2 SD (stunting),Total,2016,19,Percent
Northern Africa,Height-for-age <-2 SD (stunting),Total,2017,18,Percent
Northern Africa,Height-for-age <-2 SD (stunting),Total,2018,18,Percent
Northern Africa,Height-for-age <-2 SD (stunting),Total,2019,18,Percent
Northern Africa,Height-for-age <-2 SD (stunting),Total,2020,17,Percent
Caribbean,Height-for-age <-2 SD (stunting),Total,1985,24,Percent
Caribbean,Height-for-age <-2 SD (stunting),Total,1986,23,Percent
Caribbean,Height-for-age <-2 SD (stunting),Total,1987,23,Percent
Caribbean,Height-for-age <-2 SD (stunting),Total,1988,22,Percent
Caribbean,Height-for-age <-2 SD (stunting),Total,1989,21,Percent
Caribbean,Height-for-age <-2 SD (stunting),Total,1990,21,Percent
Caribbean,Height-for-age <-2 SD (stunting),Total,1991,20,Percent
Caribbean,Height-for-age <-2 SD (stunting),Total,1992,20,Percent
Caribbean,Height-for-age <-2 SD (stunting),Total,1993,19,Percent
Caribbean,Height-for-age <-2 SD (stunting),Total,1994,18,Percent
Caribbean,Height-for-age <-2 SD (stunting),Total,1995,18,Percent
Caribbean,Height-for-age <-2 SD (stunting),Total,1996,17,Percent
Caribbean,Height-for-age <-2 SD (stunting),Total,1997,17,Percent
Caribbean,Height-for-age <-2 SD (stunting),Total,1998,16,Percent
Caribbean,Height-for-age <-2 SD (stunting),Total,1999,16,Percent
Caribbean,Height-for-age <-2 SD (stunting),Total,2000,15,Percent
Caribbean,Height-for-age <-2 SD (stunting),Total,2001,15,Percent
Caribbean,Height-for-age <-2 SD (stunting),Total,2002,14,Percent
Caribbean,Height-for-age <-2 SD (stunting),Total,2003,14,Percent
Caribbean,Height-for-age <-2 SD (stunting),Total,2004,13,Percent
Caribbean,Height-for-age <-2 SD (stunting),Total,2005,13,Percent
Caribbean,Height-for-age <-2 SD (stunting),Total,2006,13,Percent
Caribbean,Height-for-age <-2 SD (stunting),Total,2007,12,Percent
Caribbean,Height-for-age <-2 SD (stunting),Total,2008,12,Percent
