Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,Number of deaths ages 5-9 years,SH.DTH.0509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Number of deaths ages 5-9 years,SH.DTH.0509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242939,242470,247325,251919,274876,243885,241646,239298,234331,228335,222998,218333,213502,208374,203113,197415,191567,185673,181147,174888,171139,167051,162285,159368,157132,155051,153322,151904,150575,149344,148066,146677,
Afghanistan,AFG,Number of deaths ages 5-9 years,SH.DTH.0509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3819,3424,3284,3668,3855,3910,3833,3786,4706,3779,3835,3711,3736,4085,4321,4493,4767,5049,5265,5386,5320,5118,4826,4402,3926,3519,3187,2972,2842,2751,2678,2619,
Africa Western and Central,AFW,Number of deaths ages 5-9 years,SH.DTH.0509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158909,158888,158891,158813,158576,158645,158848,159214,159526,159822,159902,159996,160054,160108,159957,160333,160915,161627,162451,163334,164175,165150,166192,167256,168559,169515,169939,170310,170197,170096,168548,166954,
Angola,AGO,Number of deaths ages 5-9 years,SH.DTH.0509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13612,12179,14839,13158,13617,14021,14372,14621,14782,14871,14879,14795,14647,14426,14120,13762,13386,12979,12569,12184,11818,11489,11155,10857,10651,10497,10387,10310,10235,10149,10024,9911,
Albania,ALB,Number of deaths ages 5-9 years,SH.DTH.0509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268,252,236,220,205,191,179,215,157,147,138,128,119,110,101,91,83,75,68,61,55,50,46,42,39,37,34,33,32,30,29,27,
Andorra,AND,Number of deaths ages 5-9 years,SH.DTH.0509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Arab World,ARB,Number of deaths ages 5-9 years,SH.DTH.0509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52677,51198,49532,48123,47223,45877,44550,43163,42023,40974,40014,39145,38257,37567,36596,36052,35686,35251,35845,34545,35230,35275,36822,38182,38604,37792,37114,33868,34035,33611,32776,32927,
United Arab Emirates,ARE,Number of deaths ages 5-9 years,SH.DTH.0509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,66,66,65,64,63,62,60,59,58,58,59,60,61,62,62,63,66,69,72,73,71,70,71,75,80,85,87,88,87,85,83,
Argentina,ARG,Number of deaths ages 5-9 years,SH.DTH.0509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1088,1069,1047,1024,999,975,958,950,948,942,927,905,884,869,866,874,882,880,862,833,797,760,727,699,681,671,659,640,608,565,513,462,
Armenia,ARM,Number of deaths ages 5-9 years,SH.DTH.0509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,124,118,106,96,89,83,78,73,67,60,54,49,45,43,41,39,38,37,37,37,37,37,37,37,38,38,39,39,40,40,39,
American Samoa,ASM,Number of deaths ages 5-9 years,SH.DTH.0509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Number of deaths ages 5-9 years,SH.DTH.0509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Australia,AUS,Number of deaths ages 5-9 years,SH.DTH.0509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,224,217,209,202,196,191,185,180,174,169,163,157,150,145,140,136,132,130,127,126,125,124,124,124,123,121,119,116,114,110,107,
